                                                                    VIRUS STRAIN	               CLADE
                                                    A/chicken/Cambodia/67F1/2008	               1.1.1
                                                      A/chicken/Vietnam/KG8/2008	               1.1.1
                                             A/muscovy_duck/Vietnam/OIE-559/2011	               1.1.1
                                                 A/chicken/Vietnam/NCVD-117/2008	               1.1.1
                                                        A/Cambodia/V0606311/2011	               1.1.1
                                                        A/Cambodia/S1211394/2008	               1.1.1
                                                     A/chicken/Vietnam/TV98/2008	               1.1.1
                                                    A/duck/Vietnam/OIE-0062/2012	               1.1.1
                                                A/chicken/Vietnam/NCVD-KA57/2012	               1.1.1
                                                       A/chicken/Vietnam/KH/2010	               1.1.1
                                                    A/duck/Cambodia/261W7M2/2013	               1.1.2
                                                A/chicken/Cambodia/PV025LC1/2010	               1.1.2
                                                        A/Cambodia/U0417030/2010	               1.1.2
                                                A/chicken/Cambodia/PV025LC2/2010	               1.1.2
                                               A/chicken/Vietnam/NCVD-KA428/2013	               1.1.2
                                               A/chicken/Vietnam/NCVD-KA448/2013	               1.1.2
                                                   A/chicken/Cambodia/083LC/2011	               1.1.2
                                              A/civet_cat/Cambodia/X0313307/2013	               1.1.2
                                                   A/duck/Cambodia/TK007D1C/2010	               1.1.2
                                                        A/Cambodia/W0526301/2012	               1.1.2
                                            A/muscovy_duck/Vietnam/OIE-3314/2011	               1.1.2
                                                A/chicken/Cambodia/W0530391/2012	               1.1.2
                                               A/environment/Cambodia/C453W/2011	               1.1.2
                                                      A/duck/Cambodia/072D1/2011	               1.1.2
                                                    A/duck/Cambodia/143W4M4/2013	               1.1.2
                                                        A/Cambodia/X0207301/2013	               1.1.2
                                                    A/duck/Cambodia/TK05D8T/2010	               1.1.2
                                                        A/Cambodia/X0628313/2013	               1.1.2
                                              A/civet_cat/Cambodia/X0313306/2013	               1.1.2
                                                A/chicken/Cambodia/X0305302/2013	               1.1.2
                                                    A/duck/Cambodia/191W5M4/2013	               1.1.2
                                                   A/duck/Cambodia/TK007D5T/2010	               1.1.2
                                            A/environment/Cambodia/E290W9M1/2013	               1.1.2
                                                      A/chicken/Soc_Trang/2/2012	               1.1.2
                                                        A/Cambodia/X0219301/2013	               1.1.2
                                                        A/Cambodia/V0203306/2011	               1.1.2
                                                A/chicken/Vietnam/NCVD-A937/2011	               1.1.2
                                                      A/chicken/Soc_Trang/1/2012	               1.1.2
                                                    A/chicken/Vietnam/DT382/2008	               1.1.2
                                            A/muscovy_duck/Vietnam/OIE-0043/2012	               1.1.2
                                                        A/Cambodia/X0913301/2013	               1.1.2
                                                      A/duck/Vietnam/ST0970/2009	               1.1.2
                                                  A/chicken/Cambodia/008LC1/2011	               1.1.2
                                                A/chicken/Cambodia/PV025LC4/2010	               1.1.2
